# planning/fidelity/settings.pairing.tsv — which build node answers which mock affordance.
#
# Four tab-separated columns:  state <TAB> affordance <TAB> node <TAB> citation
#
# This file declares ONLY the pairing. It never declares a status: present, divergent, absent and
# unclassified are computed by scripts/acceptance/mock_fidelity.py from the two artifacts on every
# run, which is what makes `present` earned by measuring rather than asserted. Deleting a line here
# does not delete a row from the ledger — the mock side of the inventory is derived from the mock on
# every run, so an affordance with no line becomes `absent`, which is a finding.
#
# A citation is external and PRE-EXISTING: a file and the claim it already makes, or a search and
# the date it was run. A justification composed while filling this in is motivated classification
# wearing a citation's clothes, so an absence is admissible only when the search that established it
# is named. Two things that ARE admissible and read like exceptions: a spec assumption taken at
# triage, which is a recorded decision rather than an argument made here (the ten `D5` rows cite
# spec-M15 §2's seventh, and the header sentence that used to forbid every spec-M15 citation was
# already false against them); and a handoff to a named item, which records who owns the difference.
# Neither suppresses a finding — the row stays red and the citation says whose it is.
#
# EVERY CITATION OPENS WITH `Dn · `, naming the divergence in settings.layers.json that this row's
# finding falls under. The four-item list that preceded it left 49 of 97 findings unadjudicated
# while claiming all of them were inside it; the number is what stops that being invisible, and it
# reaches the generated ledger's citation column, so the split is countable off the run's own
# artifact rather than off this file. A row whose citation carries no number, or a number
# settings.layers.json does not define, is a defect.
#
#   node = -            the affordance has no counterpart in the build
#
# TWO structural facts decide most of this file, and both are declared in settings.layers.json.
#
# 1. The mock models Settings as a TAB SET: all seven panes sit in the DOM at once and `.active`
#    decides which is visible, so `v-ideal` inventories all seven panes' contents. The build is a
#    NavigationSplitView whose detail renders the selected pane and nothing else. Six of the seven
#    panes are therefore `absent` from any one run, and that is a difference in how the surface is
#    modelled rather than a missing control. (D3)
#
# 2. Twenty-two of the mock's thirty rows name capabilities this product does not have — counted by
#    `.form-row` in design/mcp-router-console.html:1554-1711, where the eight built are Endpoint,
#    Idle window, Warm set, Control token, Paired devices, Show in the menu bar, Router log and
#    Configuration. spec-M15 §2's fifth assumption forbids building a control for one, so each is
#    absent with the artifact that already recorded the absence beside it. This read THIRTEEN here
#    and in three other places until M15's gap-fix counted the mock directly. (D4)


# ---------------------------------------------------------------- ideal
ideal	v-ideal/heading/router	settings.ideal/settings-window/detail/pane-hero/pane-title
ideal	v-ideal/sentence/the-endpoint-your-harnesses-point-at-and-how-lon	settings.ideal/settings-window/detail/pane-hero/pane-subtitle
ideal	v-ideal/button/copy	settings.ideal/settings-window/detail/group-router/copy-endpoint
ideal	v-ideal/button/choose#2	-	D4 · absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/button/every-6-hours	-	D4 · absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/icon/unlabelled#5	-	D4 · absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/button/notify-me-about-findings	-	D4 · absence, established 2026-08-22: grep -ri 'analyst' over app/Sources, src/ and app/MCPRouter returned only comments describing this mock — there is no analyst in the product
ideal	v-ideal/heading/updates	-	D3 · design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/sentence/how-often-this-app-and-the-capabilities-you-have	-	D3 · design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/button/every-12-hours	-	D4 · absence, established 2026-08-22: grep -ri 'updateCheck|appcast|Sparkle|CFBundleShortVersionString' over app/Sources, app/MCPRouter and src/ returned nothing but Info.plist keys
ideal	v-ideal/icon/unlabelled#6	-	D4 · absence, established 2026-08-22: grep -ri 'updateCheck|appcast|Sparkle|CFBundleShortVersionString' over app/Sources, app/MCPRouter and src/ returned nothing but Info.plist keys
ideal	v-ideal/button/install-updates-automatically	-	D4 · absence, established 2026-08-22: grep -ri 'updateCheck|appcast|Sparkle|CFBundleShortVersionString' over app/Sources, app/MCPRouter and src/ returned nothing but Info.plist keys
ideal	v-ideal/button/hold-a-version-that-wants-more	-	D4 · absence, established 2026-08-22: grep -ri 'updateCheck|appcast|Sparkle|CFBundleShortVersionString' over app/Sources, app/MCPRouter and src/ returned nothing but Info.plist keys
ideal	v-ideal/button/check-now	-	D4 · absence, established 2026-08-22: grep -ri 'updateCheck|appcast|Sparkle|CFBundleShortVersionString' over app/Sources, app/MCPRouter and src/ returned nothing but Info.plist keys
ideal	v-ideal/heading/security	-	D3 · design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/sentence/what-a-new-version-has-to-prove-before-anything-	-	D3 · design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/button/rotate	-	D4 · app/Sources/MCPRouterUI/Settings/SettingsWindowModel.swift — forget()'s docstring: "There is no rotate endpoint and this is not one"
ideal	v-ideal/button/hold-schema-changes	-	D4 · app/Sources/MCPRouterKit/Control/Models.swift — pendingChange and heldChanges ship as behaviour; no route makes the holding itself a setting
ideal	v-ideal/button/manage	-	D3 · design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/button/90-days	-	D4 · absence, established 2026-08-22: grep -ri 'retention|keepHistory|historyWindow' over app/Sources returned only remove(keepHistory:), which is per-server
ideal	v-ideal/icon/unlabelled#7	-	D4 · absence, established 2026-08-22: grep -ri 'retention|keepHistory|historyWindow' over app/Sources returned only remove(keepHistory:), which is per-server
ideal	v-ideal/heading/menu-bar	-	D3 · design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/sentence/what-the-status-item-shows-and-what-it-lets-you-	-	D3 · design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/button/show-in-the-menu-bar	-	D3 · design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/button/show-the-dock-icon	-	D4 · absence, established 2026-08-22: grep -ri 'setActivationPolicy|LSUIElement' over app/Sources and app/MCPRouter returned only MeasureDump's .prohibited
ideal	v-ideal/button/approve-from-the-popover	-	D4 · absence, established 2026-08-22: grep -ri 'setActivationPolicy|LSUIElement' over app/Sources and app/MCPRouter returned only MeasureDump's .prohibited
ideal	v-ideal/heading/advanced	-	D3 · design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/sentence/the-log-the-local-store-and-the-values-you-would	-	D3 · design/mcp-router-console.html:1553-1745 — the mock keeps all seven panes in the DOM and toggles `.active`; a NavigationSplitView detail renders the selected pane only, so this run measures the pane the source list has selected
ideal	v-ideal/button/reveal-in-finder	-	D4 · scripts/lint/no-raw-design-values.sh — A36's one-channel rule forbids this layer naming FileManager, Bundle or a file URL, so revealing a file in Finder is not this window's to offer
ideal	v-ideal/button/reveal-in-finder#2	-	D4 · scripts/lint/no-raw-design-values.sh — A36's one-channel rule forbids this layer naming FileManager, Bundle or a file URL, so revealing a file in Finder is not this window's to offer
ideal	v-ideal/button/re-index	-	D4 · app/Sources/MCPRouterKit/Control/ControlAPIClient.swift — reindex(_:) is per-server; there is no bulk re-index route on the control API
ideal	v-ideal/button/restore	-	D4 · app/Sources/MCPRouterKit/Control/ControlToken.swift:13-19 — no route writes a harness config back, and scripts/lint/no-harness-config-writes.sh forbids the app doing it
ideal	v-ideal/callout/mcp-router-1-4-0-build-2026-08-19-developer-id-s	-	D9 · Makefile:11-22 — every build in this repository is unsigned, so "Developer ID signed and notarised" is two facts nothing observes; the version half is drawn in Advanced, which this dump does not render

# ---------------------------------------------------------------- empty
empty	v-empty/icon/unlabelled	-	D5 · planning/specs/spec-M15.md:29 — assumption: "With the router stopped the window still opens and says so, rather than refusing to open"; the mock refuses the whole window
empty	v-empty/heading/settings-are-unavailable-while-the-router-is-sto	-	D5 · planning/specs/spec-M15.md:29 — assumption: "With the router stopped the window still opens and says so, rather than refusing to open"; the mock refuses the whole window
empty	v-empty/sentence/most-of-this-pane-reports-what-the-router-observ	-	D5 · planning/specs/spec-M15.md:29 — assumption: "With the router stopped the window still opens and says so, rather than refusing to open"; the mock refuses the whole window
empty	v-empty/button/start-the-router	-	D4 · planning/specs/spec-M8.md — the offline branch carries no action deliberately: nothing in this tree can start a router, and ServersBoardModel.cannotStartRouterReason is the sentence that says so

# ---------------------------------------------------------------- build nodes the mock's
# census does not reach. `+path` is the declared form for one, and it stays a finding either
# way — the citation records WHO OWNS the difference, it does not suppress it.
ideal	+settings.ideal/settings-window/source-list	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
ideal	+settings.ideal/settings-window/source-list/pane-row-router	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
ideal	+settings.ideal/settings-window/source-list/pane-row-harnesses	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
ideal	+settings.ideal/settings-window/source-list/pane-row-analyst	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
ideal	+settings.ideal/settings-window/source-list/pane-row-updates	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
ideal	+settings.ideal/settings-window/source-list/pane-row-security	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
ideal	+settings.ideal/settings-window/source-list/pane-row-menubar	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
ideal	+settings.ideal/settings-window/source-list/pane-row-advanced	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
ideal	+settings.ideal/settings-window/detail/group-router/group-title	-	D8 · planning/specs/spec-M8.md — the four named group headers Router / Menu bar / Warm set / Control token are M8's shipped surface and scripts/acceptance/m8-settings-menubar.sh reads all four back off the rendered window; the mock draws one unlabelled .form-group per pane
ideal	+settings.ideal/settings-window/detail/group-router/card	-	D7 · scripts/acceptance/mock-affordances.py:29-50 — the affordance rules name headings, rows (.trow), jacks, buttons, search fields, section headers, column headers, banners, cards (.card/.tablecard/.signalpath), fields (.kv), callouts, code blocks, progress, skeleton rows, dots, sprite icons and <p>. The mock's .form-group and .form-row match none of them, so the structure the build draws these from is not inventoried on the mock side at all
ideal	+settings.ideal/settings-window/detail/group-router/card/row-Endpoint	-	D7 · scripts/acceptance/mock-affordances.py:29-50 — the affordance rules name headings, rows (.trow), jacks, buttons, search fields, section headers, column headers, banners, cards (.card/.tablecard/.signalpath), fields (.kv), callouts, code blocks, progress, skeleton rows, dots, sprite icons and <p>. The mock's .form-group and .form-row match none of them, so the structure the build draws these from is not inventoried on the mock side at all
ideal	+settings.ideal/settings-window/detail/group-router/card/row-Home	-	D7 · scripts/acceptance/mock-affordances.py:29-50 — the affordance rules name headings, rows (.trow), jacks, buttons, search fields, section headers, column headers, banners, cards (.card/.tablecard/.signalpath), fields (.kv), callouts, code blocks, progress, skeleton rows, dots, sprite icons and <p>. The mock's .form-group and .form-row match none of them, so the structure the build draws these from is not inventoried on the mock side at all
ideal	+settings.ideal/settings-window/detail/group-router/card/row-Idle reaper	-	D7 · scripts/acceptance/mock-affordances.py:29-50 — the affordance rules name headings, rows (.trow), jacks, buttons, search fields, section headers, column headers, banners, cards (.card/.tablecard/.signalpath), fields (.kv), callouts, code blocks, progress, skeleton rows, dots, sprite icons and <p>. The mock's .form-group and .form-row match none of them, so the structure the build draws these from is not inventoried on the mock side at all
ideal	+settings.ideal/settings-window/detail/group-router/card/row-Counting since	-	D7 · scripts/acceptance/mock-affordances.py:29-50 — the affordance rules name headings, rows (.trow), jacks, buttons, search fields, section headers, column headers, banners, cards (.card/.tablecard/.signalpath), fields (.kv), callouts, code blocks, progress, skeleton rows, dots, sprite icons and <p>. The mock's .form-group and .form-row match none of them, so the structure the build draws these from is not inventoried on the mock side at all
ideal	+settings.ideal/settings-window/detail/group-router/router-help	-	D7 · planning/specs/spec-M8.md — routerHelp and the warm-set help are M8's approved "read from the router, not set here" sentences; the mock's equivalent prose is a <span> inside .fl, which no affordance rule matches
ideal	+settings.ideal/settings-window/detail/group-warm-set	-	D8 · planning/specs/spec-M8.md — the four named group headers Router / Menu bar / Warm set / Control token are M8's shipped surface and scripts/acceptance/m8-settings-menubar.sh reads all four back off the rendered window; the mock draws one unlabelled .form-group per pane
ideal	+settings.ideal/settings-window/detail/group-warm-set/group-title	-	D8 · planning/specs/spec-M8.md — the four named group headers Router / Menu bar / Warm set / Control token are M8's shipped surface and scripts/acceptance/m8-settings-menubar.sh reads all four back off the rendered window; the mock draws one unlabelled .form-group per pane
ideal	+settings.ideal/settings-window/detail/group-warm-set/warm-card	-	D7 · scripts/acceptance/mock-affordances.py:29-50 — the affordance rules name headings, rows (.trow), jacks, buttons, search fields, section headers, column headers, banners, cards (.card/.tablecard/.signalpath), fields (.kv), callouts, code blocks, progress, skeleton rows, dots, sprite icons and <p>. The mock's .form-group and .form-row match none of them, so the structure the build draws these from is not inventoried on the mock side at all
ideal	+settings.ideal/settings-window/detail/group-warm-set/warm-card/row-Kept resident	-	D7 · scripts/acceptance/mock-affordances.py:29-50 — the affordance rules name headings, rows (.trow), jacks, buttons, search fields, section headers, column headers, banners, cards (.card/.tablecard/.signalpath), fields (.kv), callouts, code blocks, progress, skeleton rows, dots, sprite icons and <p>. The mock's .form-group and .form-row match none of them, so the structure the build draws these from is not inventoried on the mock side at all
ideal	+settings.ideal/settings-window/detail/group-warm-set/show-in-servers	-	D8 · planning/specs/spec-M8.md — `Show in Servers` is M8's shipped action and the switch it points at is on each server's own row; the mock offers `Choose…`, which opens a sheet planning/features-to-triage/M18-sheets-and-gates.md owns
ideal	+settings.ideal/settings-window/detail/group-warm-set/warm-help	-	D7 · planning/specs/spec-M8.md — routerHelp and the warm-set help are M8's approved "read from the router, not set here" sentences; the mock's equivalent prose is a <span> inside .fl, which no affordance rule matches
empty	+settings.empty/settings-window	-	D5 · planning/specs/spec-M15.md:29 — assumption: "With the router stopped the window still opens and says so, rather than refusing to open". The mock's v-empty frame replaces the whole window with a refusal, so everything the build keeps live reads as extra
empty	+settings.empty/settings-window/source-list	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
empty	+settings.empty/settings-window/source-list/pane-row-router	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
empty	+settings.empty/settings-window/source-list/pane-row-harnesses	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
empty	+settings.empty/settings-window/source-list/pane-row-analyst	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
empty	+settings.empty/settings-window/source-list/pane-row-updates	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
empty	+settings.empty/settings-window/source-list/pane-row-security	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
empty	+settings.empty/settings-window/source-list/pane-row-menubar	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
empty	+settings.empty/settings-window/source-list/pane-row-advanced	-	D7 · design/mcp-router-console.html:1524-1551 — the mock draws its pane list as <nav class="swin-side"> INSIDE .swin-split and OUTSIDE every .v-* frame, so no state census can reach it; the list is the surface's chrome in the mock and part of the split view here
empty	+settings.empty/settings-window/detail	-	D5 · planning/specs/spec-M15.md:29 — assumption: "With the router stopped the window still opens and says so, rather than refusing to open". The mock's v-empty frame replaces the whole window with a refusal, so everything the build keeps live reads as extra
empty	+settings.empty/settings-window/detail/pane-hero	-	D5 · planning/specs/spec-M15.md:29 — assumption: "With the router stopped the window still opens and says so, rather than refusing to open". The mock's v-empty frame replaces the whole window with a refusal, so everything the build keeps live reads as extra
empty	+settings.empty/settings-window/detail/pane-hero/pane-title	-	D5 · planning/specs/spec-M15.md:29 — assumption: "With the router stopped the window still opens and says so, rather than refusing to open". The mock's v-empty frame replaces the whole window with a refusal, so everything the build keeps live reads as extra
empty	+settings.empty/settings-window/detail/pane-hero/pane-subtitle	-	D5 · planning/specs/spec-M15.md:29 — assumption: "With the router stopped the window still opens and says so, rather than refusing to open". The mock's v-empty frame replaces the whole window with a refusal, so everything the build keeps live reads as extra
empty	+settings.empty/settings-window/detail/group-router	-	D5 · planning/specs/spec-M15.md:29 — assumption: "With the router stopped the window still opens and says so, rather than refusing to open". The mock's v-empty frame replaces the whole window with a refusal, so everything the build keeps live reads as extra
empty	+settings.empty/settings-window/detail/group-router/group-title	-	D8 · planning/specs/spec-M8.md — the four named group headers Router / Menu bar / Warm set / Control token are M8's shipped surface and scripts/acceptance/m8-settings-menubar.sh reads all four back off the rendered window; the mock draws one unlabelled .form-group per pane
empty	+settings.empty/settings-window/detail/group-router/router-offline	-	D5 · planning/specs/spec-M8.md — the offline branch renders ControlAPIError's headline and advice with no action button, recorded there as a deliberate DESIGN.md §5 deviation because nothing in this tree can start a router
empty	+settings.empty/settings-window/detail/group-router/router-offline-detail	-	D5 · planning/specs/spec-M8.md — the offline branch renders ControlAPIError's headline and advice with no action button, recorded there as a deliberate DESIGN.md §5 deviation because nothing in this tree can start a router
empty	+settings.empty/settings-window/detail/group-warm-set	-	D5 · planning/specs/spec-M15.md:29 — assumption: "With the router stopped the window still opens and says so, rather than refusing to open". The mock's v-empty frame replaces the whole window with a refusal, so everything the build keeps live reads as extra
empty	+settings.empty/settings-window/detail/group-warm-set/group-title	-	D8 · planning/specs/spec-M8.md — the four named group headers Router / Menu bar / Warm set / Control token are M8's shipped surface and scripts/acceptance/m8-settings-menubar.sh reads all four back off the rendered window; the mock draws one unlabelled .form-group per pane
empty	+settings.empty/settings-window/detail/group-warm-set/warm-card	-	D7 · scripts/acceptance/mock-affordances.py:29-50 — the affordance rules name headings, rows (.trow), jacks, buttons, search fields, section headers, column headers, banners, cards (.card/.tablecard/.signalpath), fields (.kv), callouts, code blocks, progress, skeleton rows, dots, sprite icons and <p>. The mock's .form-group and .form-row match none of them, so the structure the build draws these from is not inventoried on the mock side at all
empty	+settings.empty/settings-window/detail/group-warm-set/warm-card/row-Kept resident	-	D7 · scripts/acceptance/mock-affordances.py:29-50 — the affordance rules name headings, rows (.trow), jacks, buttons, search fields, section headers, column headers, banners, cards (.card/.tablecard/.signalpath), fields (.kv), callouts, code blocks, progress, skeleton rows, dots, sprite icons and <p>. The mock's .form-group and .form-row match none of them, so the structure the build draws these from is not inventoried on the mock side at all
empty	+settings.empty/settings-window/detail/group-warm-set/show-in-servers	-	D8 · planning/specs/spec-M8.md — `Show in Servers` is M8's shipped action and the switch it points at is on each server's own row; the mock offers `Choose…`, which opens a sheet planning/features-to-triage/M18-sheets-and-gates.md owns
empty	+settings.empty/settings-window/detail/group-warm-set/warm-help	-	D7 · planning/specs/spec-M8.md — routerHelp and the warm-set help are M8's approved "read from the router, not set here" sentences; the mock's equivalent prose is a <span> inside .fl, which no affordance rule matches
